name,date,time,venue,minPrice,maxPrice,home,away
Indiana Pacers vs. Los Angeles Lakers,2024-03-29,19:00:00,Gainbridge Fieldhouse,102.0,1178.0,Indiana Pacers,Los Angeles Lakers
Indiana Pacers vs. Cleveland Cavaliers,2024-03-18,19:00:00,Gainbridge Fieldhouse,11.0,999.0,Indiana Pacers,Cleveland Cavaliers
Indiana Pacers vs. Brooklyn Nets,2024-03-16,19:00:00,Gainbridge Fieldhouse,32.0,999.0,Indiana Pacers,Brooklyn Nets
Indiana Pacers vs. Oklahoma City Thunder,2024-04-05,19:00:00,Gainbridge Fieldhouse,17.0,999.0,Indiana Pacers,Oklahoma City Thunder
Indiana Pacers vs. Miami Heat,2024-04-07,17:00:00,Gainbridge Fieldhouse,23.0,999.0,Indiana Pacers,Miami Heat
Indiana Pacers vs. Atlanta Hawks,2024-04-14,13:00:00,Gainbridge Fieldhouse,17.0,999.0,Indiana Pacers,Atlanta Hawks
Indiana Pacers vs. Brooklyn Nets,2024-04-01,19:00:00,Gainbridge Fieldhouse,9.0,999.0,Indiana Pacers,Brooklyn Nets
