name,date,time,venue,minPrice,maxPrice,home,away
Phoenix Suns vs. Atlanta Hawks,2024-03-21,19:30:00,Footprint Center,49.0,3870.0,Phoenix Suns,Atlanta Hawks
Phoenix Suns vs. Minnesota Timberwolves,2024-04-05,19:00:00,Footprint Center,59.0,4300.0,Phoenix Suns,Minnesota Timberwolves
Phoenix Suns vs. New Orleans Pelicans,2024-04-07,15:00:00,Footprint Center,74.0,3870.0,Phoenix Suns,New Orleans Pelicans
Phoenix Suns vs. Philadelphia 76ers,2024-03-20,19:00:00,Footprint Center,44.0,4300.0,Phoenix Suns,Philadelphia 76ers
Phoenix Suns vs. Cleveland Cavaliers,2024-04-03,19:00:00,Footprint Center,39.0,3870.0,Phoenix Suns,Cleveland Cavaliers
Phoenix Suns vs. LA Clippers,2024-04-09,19:00:00,Footprint Center,49.0,3870.0,Phoenix Suns,Los Angeles Clippers
