name,date,time,venue,minPrice,maxPrice,home,away
Golden State Warriors vs. Dallas Mavericks,2024-04-02,19:00:00,Chase Center,115.0,1600.0,Golden State Warriors,Dallas Mavericks
Golden State Warriors vs. New York Knicks,2024-03-18,19:00:00,Chase Center,95.0,1400.0,Golden State Warriors,New York Knicks
Golden State Warriors vs. Indiana Pacers,2024-03-22,19:00:00,Chase Center,95.0,1100.0,Golden State Warriors,Indiana Pacers
Golden State Warriors vs. Memphis Grizzlies,2024-03-20,19:00:00,Chase Center,95.0,1600.0,Golden State Warriors,Memphis Grizzlies
Golden State Warriors vs. Utah Jazz,2024-04-07,17:30:00,Chase Center,95.0,1400.0,Golden State Warriors,Utah Jazz
Golden State Warriors vs. Utah Jazz,2024-04-14,12:30:00,Chase Center,95.0,1400.0,Golden State Warriors,Utah Jazz
Golden State Warriors vs. New Orleans Pelicans,2024-04-12,19:00:00,Chase Center,95.0,1400.0,Golden State Warriors,New Orleans Pelicans
