name,date,time,venue,minPrice,maxPrice,home,away
Memphis Grizzlies vs. Los Angeles Lakers,2024-03-27,19:00:00,FedExForum,75.0,735.0,Memphis Grizzlies,Los Angeles Lakers
Memphis Grizzlies vs. Los Angeles Lakers,2024-04-12,19:00:00,FedExForum,83.0,745.0,Memphis Grizzlies,Los Angeles Lakers
Memphis Grizzlies vs. Philadelphia 76ers,2024-04-06,19:00:00,FedExForum,55.0,439.0,Memphis Grizzlies,Philadelphia 76ers
Memphis Grizzlies vs. Detroit Pistons,2024-04-05,19:00:00,FedExForum,35.0,319.0,Memphis Grizzlies,Detroit Pistons
Memphis Grizzlies vs. Denver Nuggets,2024-04-14,14:30:00,FedExForum,35.0,319.0,Memphis Grizzlies,Denver Nuggets
Memphis Grizzlies vs. Oklahoma City Thunder,2024-03-16,19:00:00,FedExForum,55.0,439.0,Memphis Grizzlies,Oklahoma City Thunder
Memphis Grizzlies vs. San Antonio Spurs,2024-04-09,19:00:00,FedExForum,24.0,206.0,Memphis Grizzlies,San Antonio Spurs
