name,date,time,venue,minPrice,maxPrice,home,away
New York Knicks vs. Brooklyn Nets,2024-03-23,13:00:00,Madison Square Garden,215.0,5997.5,New York Knicks,Brooklyn Nets
New York Knicks vs. Oklahoma City Thunder,2024-03-31,19:00:00,Madison Square Garden,225.0,4145.5,New York Knicks,Oklahoma City Thunder
New York Knicks vs. Detroit Pistons,2024-03-25,19:30:00,Madison Square Garden,160.0,4145.5,New York Knicks,Detroit Pistons
New York Knicks vs. Chicago Bulls,2024-04-14,13:00:00,Madison Square Garden,199.0,5173.5,New York Knicks,Chicago Bulls
New York Knicks vs. Sacramento Kings,2024-04-04,19:30:00,Madison Square Garden,210.0,4145.5,New York Knicks,Sacramento Kings
New York Knicks vs. Brooklyn Nets,2024-04-12,19:30:00,Madison Square Garden,190.0,5998.5,New York Knicks,Brooklyn Nets
