name,date,time,venue,minPrice,maxPrice,home,away
Utah Jazz vs. Dallas Mavericks,2024-03-25,19:00:00,Delta Center,,,Utah Jazz,Dallas Mavericks
Utah Jazz vs. Houston Rockets,2024-03-29,19:30:00,Delta Center,,,Utah Jazz,Houston Rockets
Utah Jazz vs. Cleveland Cavaliers,2024-04-02,19:00:00,Delta Center,,,Utah Jazz,Cleveland Cavaliers
Utah Jazz vs. Houston Rockets,2024-04-11,19:00:00,Delta Center,,,Utah Jazz,Houston Rockets
Utah Jazz vs. Denver Nuggets,2024-04-09,19:00:00,Delta Center,,,Utah Jazz,Denver Nuggets
Utah Jazz vs. Minnesota Timberwolves,2024-03-16,19:30:00,Delta Center,,,Utah Jazz,Minnesota Timberwolves
Utah Jazz vs. Minnesota Timberwolves,2024-03-18,19:00:00,Delta Center,,,Utah Jazz,Minnesota Timberwolves
Utah Jazz vs. San Antonio Spurs,2024-03-27,19:00:00,Delta Center,,,Utah Jazz,San Antonio Spurs
