name,date,time,venue,minPrice,maxPrice,home,away
Cleveland Cavaliers vs. Miami HEAT,2024-03-20,19:00:00,Rocket Mortgage FieldHouse,,,Cleveland Cavaliers,Miami Heat
Cleveland Cavaliers vs. Philadelphia 76ers,2024-03-29,19:30:00,Rocket Mortgage FieldHouse,,,Cleveland Cavaliers,Philadelphia 76ers
Cleveland Cavaliers vs. Charlotte Hornets,2024-03-25,19:00:00,Rocket Mortgage FieldHouse,,,Cleveland Cavaliers,Charlotte Hornets
Cleveland Cavaliers vs. Charlotte Hornets,2024-04-14,13:00:00,Rocket Mortgage FieldHouse,,,Cleveland Cavaliers,Charlotte Hornets
Cleveland Cavaliers vs. Indiana Pacers,2024-04-12,19:30:00,Rocket Mortgage FieldHouse,,,Cleveland Cavaliers,Indiana Pacers
Cleveland Cavaliers vs. Memphis Grizzlies,2024-04-10,19:00:00,Rocket Mortgage FieldHouse,,,Cleveland Cavaliers,Memphis Grizzlies
