name,date,time,venue,minPrice,maxPrice,home,away
Miami Heat vs. Philadelphia 76ers,2024-04-04,19:30:00,Kaseya Center,40.0,1000.0,Miami Heat,Philadelphia 76ers
Miami Heat vs. Toronto Raptors,2024-04-14,13:00:00,Kaseya Center,35.0,550.0,Miami Heat,Toronto Raptors
Miami Heat vs. Toronto Raptors,2024-04-12,20:00:00,Kaseya Center,30.0,550.0,Miami Heat,Toronto Raptors
Miami Heat vs. Cleveland Cavaliers,2024-03-24,18:00:00,Kaseya Center,35.0,850.0,Miami Heat,Cleveland Cavaliers
Miami Heat vs. New York Knicks,2024-04-02,19:30:00,Kaseya Center,45.0,1200.0,Miami Heat,New York Knicks
Miami Heat vs. Dallas Mavericks,2024-04-10,19:30:00,Kaseya Center,40.0,950.0,Miami Heat,Dallas Mavericks
Miami Heat vs. Golden State Warriors,2024-03-26,19:30:00,Kaseya Center,100.0,1500.0,Miami Heat,Golden State Warriors
Miami Heat vs. New Orleans Pelicans,2024-03-22,20:00:00,Kaseya Center,35.0,1000.0,Miami Heat,New Orleans Pelicans
Miami Heat vs. Portland Trail Blazers,2024-03-29,20:00:00,Kaseya Center,35.0,1000.0,Miami Heat,Portland Trail Blazers
