name,date,time,venue,minPrice,maxPrice,home,away
Dallas Mavericks vs. Golden State Warriors,2024-04-05,19:30:00,American Airlines Center,115.0,6525.0,Dallas Mavericks,Golden State Warriors
Dallas Mavericks vs. Houston Rockets,2024-04-07,14:30:00,American Airlines Center,31.0,4475.0,Dallas Mavericks,Houston Rockets
Dallas Mavericks vs. Utah Jazz,2024-03-21,19:30:00,American Airlines Center,31.0,4100.0,Dallas Mavericks,Utah Jazz
Dallas Mavericks vs. Atlanta Hawks,2024-04-04,18:30:00,American Airlines Center,39.0,4850.0,Dallas Mavericks,Atlanta Hawks
Dallas Mavericks vs. Detroit Pistons,2024-04-12,19:30:00,American Airlines Center,49.0,4850.0,Dallas Mavericks,Detroit Pistons
Dallas Mavericks vs. Denver Nuggets,2024-03-17,14:30:00,American Airlines Center,69.0,4850.0,Dallas Mavericks,Denver Nuggets
