name,date,time,venue,minPrice,maxPrice,home,away
Atlanta Hawks vs. Boston Celtics,2024-03-25,19:30:00,State Farm Arena,35.0,557.0,Atlanta Hawks,Boston Celtics
Atlanta Hawks vs. Boston Celtics,2024-03-28,19:30:00,State Farm Arena,35.0,574.0,Atlanta Hawks,Boston Celtics
Atlanta Hawks vs. Detroit Pistons,2024-04-03,19:30:00,State Farm Arena,15.0,328.0,Atlanta Hawks,Detroit Pistons
Atlanta Hawks vs. Milwaukee Bucks,2024-03-30,19:30:00,State Farm Arena,49.0,799.0,Atlanta Hawks,Milwaukee Bucks
Atlanta Hawks vs. Charlotte Hornets,2024-03-23,19:30:00,State Farm Arena,25.0,478.0,Atlanta Hawks,Charlotte Hornets
Atlanta Hawks vs. Miami Heat,2024-04-09,19:30:00,State Farm Arena,19.0,394.0,Atlanta Hawks,Miami Heat
Atlanta Hawks vs. Portland Trail Blazers,2024-03-27,19:30:00,State Farm Arena,10.0,325.0,Atlanta Hawks,Portland Trail Blazers
Atlanta Hawks vs. Charlotte Hornets,2024-04-10,19:30:00,State Farm Arena,15.0,344.0,Atlanta Hawks,Charlotte Hornets
