name,date,time,venue,minPrice,maxPrice,home,away
Oklahoma City Thunder vs. Phoenix Suns,2024-03-29,19:00:00,Paycom Center,37.0,2052.0,Oklahoma City Thunder,Phoenix Suns
Oklahoma City Thunder vs. Dallas Mavericks,2024-04-14,14:30:00,Paycom Center,37.0,2052.0,Oklahoma City Thunder,Dallas Mavericks
Oklahoma City Thunder vs. Houston Rockets,2024-03-27,19:00:00,Paycom Center,13.0,2052.0,Oklahoma City Thunder,Houston Rockets
Oklahoma City Thunder vs. Milwaukee Bucks,2024-04-12,19:00:00,Paycom Center,37.0,2052.0,Oklahoma City Thunder,Milwaukee Bucks
Oklahoma City Thunder vs. Utah Jazz,2024-03-20,19:00:00,Paycom Center,22.0,2052.0,Oklahoma City Thunder,Utah Jazz
Oklahoma City Thunder vs. San Antonio Spurs,2024-04-10,19:00:00,Paycom Center,13.0,2052.0,Oklahoma City Thunder,San Antonio Spurs
Oklahoma City Thunder vs. Sacramento Kings,2024-04-09,19:00:00,Paycom Center,13.0,2052.0,Oklahoma City Thunder,Sacramento Kings
