name,date,time,venue,minPrice,maxPrice,home,away
Toronto Raptors vs. Sacramento Kings,2024-03-20,19:30:00,Scotiabank Arena,8.0,3679.0,Toronto Raptors,Sacramento Kings
Toronto Raptors vs. Oklahoma City Thunder,2024-03-22,19:00:00,Scotiabank Arena,11.0,4762.0,Toronto Raptors,Oklahoma City Thunder
Toronto Raptors vs. Brooklyn Nets,2024-03-25,19:30:00,Scotiabank Arena,6.0,2818.0,Toronto Raptors,Brooklyn Nets
Toronto Raptors vs. Philadelphia 76ers,2024-03-31,18:00:00,Scotiabank Arena,11.0,4762.0,Toronto Raptors,Philadelphia 76ers
Toronto Raptors vs. Los Angeles Lakers,2024-04-02,19:00:00,Scotiabank Arena,19.0,8355.0,Toronto Raptors,Los Angeles Lakers
Toronto Raptors vs. Washington Wizards,2024-04-07,18:00:00,Scotiabank Arena,6.0,2818.0,Toronto Raptors,Washington Wizards
Toronto Raptors vs. Indiana Pacers,2024-04-09,19:00:00,Scotiabank Arena,8.0,3679.0,Toronto Raptors,Indiana Pacers
Toronto Raptors vs. New York Knicks,2024-03-27,19:30:00,Scotiabank Arena,8.0,3679.0,Toronto Raptors,New York Knicks
