name,date,time,venue,minPrice,maxPrice,home,away
San Antonio Spurs vs. Phoenix Suns,2024-03-23,19:00:00,Frost Bank Center,60.0,3402.0,San Antonio Spurs,Phoenix Suns
San Antonio Spurs vs. Phoenix Suns,2024-03-25,19:00:00,Frost Bank Center,27.0,3202.0,San Antonio Spurs,Phoenix Suns
San Antonio Spurs vs. Philadelphia 76ers,2024-04-07,18:00:00,Frost Bank Center,29.0,3201.0,San Antonio Spurs,Philadelphia 76ers
San Antonio Spurs vs. Dallas Mavericks,2024-03-19,19:00:00,Frost Bank Center,34.0,3202.0,San Antonio Spurs,Dallas Mavericks
San Antonio Spurs vs. New York Knicks,2024-03-29,19:00:00,Frost Bank Center,47.0,3200.0,San Antonio Spurs,New York Knicks
San Antonio Spurs vs. Detroit Pistons,2024-04-14,14:30:00,Frost Bank Center,29.0,3202.0,San Antonio Spurs,Detroit Pistons
San Antonio Spurs vs. Denver Nuggets,2024-04-12,19:00:00,Frost Bank Center,32.0,3400.0,San Antonio Spurs,Denver Nuggets
San Antonio Spurs vs. Golden State Warriors,2024-03-31,18:00:00,Frost Bank Center,87.0,3999.0,San Antonio Spurs,Golden State Warriors
San Antonio Spurs vs. Memphis Grizzlies,2024-03-22,19:00:00,Frost Bank Center,29.0,3400.0,San Antonio Spurs,Memphis Grizzlies
