name,date,time,venue,minPrice,maxPrice,home,away
Portland Trail Blazers v LA Clippers,2024-03-22,19:00:00,Moda Center,23.0,3900.0,Portland Trail Blazers,Los Angeles Clippers
Portland Trail Blazers vs. LA Clippers,2024-03-20,19:00:00,Moda Center,16.0,2700.0,Portland Trail Blazers,Los Angeles Clippers
Portland Trail Blazers vs. Houston Rockets,2024-04-12,19:00:00,Moda Center,16.0,2700.0,Portland Trail Blazers,Houston Rockets
Portland Trail Blazers vs. Denver Nuggets,2024-03-23,19:00:00,Moda Center,22.0,3900.0,Portland Trail Blazers,Denver Nuggets
Portland Trail Blazers vs. Golden State Warriors,2024-04-11,19:00:00,Moda Center,44.0,5100.0,Portland Trail Blazers,Golden State Warriors
Portland Trail Blazers vs. New Orleans Pelicans,2024-04-09,19:00:00,Moda Center,17.0,2700.0,Portland Trail Blazers,New Orleans Pelicans
