name,date,time,venue,minPrice,maxPrice,home,away
Houston Rockets vs. Cleveland Cavaliers,2024-03-16,16:00:00,Toyota Center - TX,,,Houston Rockets,Cleveland Cavaliers
Houston Rockets vs. Golden State Warriors,2024-04-04,19:00:00,Toyota Center - TX,,,Houston Rockets,Golden State Warriors
Houston Rockets vs. Chicago Bulls,2024-03-21,19:00:00,Toyota Center - TX,,,Houston Rockets,Chicago Bulls
Houston Rockets vs. Dallas Mavericks,2024-03-31,18:00:00,Toyota Center - TX,,,Houston Rockets,Dallas Mavericks
Houston Rockets vs. Utah Jazz,2024-03-23,19:00:00,Toyota Center - TX,,,Houston Rockets,Utah Jazz
Houston Rockets vs. Miami HEAT,2024-04-05,19:00:00,Toyota Center - TX,,,Houston Rockets,Miami Heat
Houston Rockets vs. Portland Trail Blazers,2024-03-25,19:00:00,Toyota Center - TX,,,Houston Rockets,Portland Trail Blazers
Houston Rockets vs. Orlando Magic,2024-04-09,19:00:00,Toyota Center - TX,,,Houston Rockets,Orlando Magic
