name,date,time,venue,minPrice,maxPrice,home,away
New Orleans Pelicans vs. Phoenix Suns,2024-04-01,19:00:00,Smoothie King Center,,,New Orleans Pelicans,Phoenix Suns
New Orleans Pelicans vs. Los Angeles Lakers,2024-04-14,14:30:00,Smoothie King Center,,,New Orleans Pelicans,Los Angeles Lakers
New Orleans Pelicans vs. Boston Celtics,2024-03-30,16:00:00,Smoothie King Center,,,New Orleans Pelicans,Boston Celtics
New Orleans Pelicans vs. Portland Trail Blazers,2024-03-16,18:00:00,Smoothie King Center,,,New Orleans Pelicans,Portland Trail Blazers
New Orleans Pelicans vs. Milwaukee Bucks,2024-03-28,19:00:00,Smoothie King Center,,,New Orleans Pelicans,Milwaukee Bucks
New Orleans Pelicans vs. Oklahoma City Thunder,2024-03-26,19:00:00,Smoothie King Center,,,New Orleans Pelicans,Oklahoma City Thunder
New Orleans Pelicans vs. San Antonio Spurs,2024-04-05,19:00:00,Smoothie King Center,,,New Orleans Pelicans,San Antonio Spurs
New Orleans Pelicans vs. Orlando Magic,2024-04-03,19:00:00,Smoothie King Center,,,New Orleans Pelicans,Orlando Magic
