name,date,time,venue,minPrice,maxPrice,home,away
Charlotte Hornets vs. Boston Celtics,2024-04-01,19:00:00,Spectrum Center ,25.0,925.0,Charlotte Hornets,Boston Celtics
Charlotte Hornets vs. LA Clippers,2024-03-31,18:00:00,Spectrum Center ,16.0,675.0,Charlotte Hornets,Los Angeles Clippers
Charlotte Hornets vs. Dallas Mavericks,2024-04-09,19:00:00,Spectrum Center ,17.5,675.0,Charlotte Hornets,Dallas Mavericks
Charlotte Hornets vs. Cleveland Cavaliers,2024-03-27,19:00:00,Spectrum Center ,17.5,440.0,Charlotte Hornets,Cleveland Cavaliers
Charlotte Hornets vs. Golden State Warriors,2024-03-29,19:00:00,Spectrum Center ,140.0,1695.0,Charlotte Hornets,Golden State Warriors
Charlotte Hornets vs. Oklahoma City Thunder,2024-04-07,18:00:00,Spectrum Center ,17.5,445.0,Charlotte Hornets,Oklahoma City Thunder
Charlotte Hornets vs. Orlando Magic,2024-04-05,19:00:00,Spectrum Center ,17.5,400.0,Charlotte Hornets,Orlando Magic
Charlotte Hornets vs. Portland Trail Blazers,2024-04-03,19:00:00,Spectrum Center ,16.0,400.0,Charlotte Hornets,Portland Trail Blazers
